1960,United States,543000000000
1960,China,120000000000
1960,Japan,95000000000
1960,Germany,88000000000
1960,United Kingdom,72000000000
1960,France,65000000000
1960,Italy,62000000000
1960,Canada,58000000000
1960,Russia,56000000000
1960,India,52000000000
1960,Brazil,48000000000
1960,Australia,45000000000
1960,South Korea,40000000000
1960,Spain,38000000000
1960,Mexico,36000000000
1960,Indonesia,34000000000
1960,Netherlands,32000000000
1960,Saudi Arabia,30000000000
1960,Turkey,28000000000
1960,Switzerland,26000000000
1961,United States,562005000000
1961,China,129000000000
1961,Japan,99275000000
1961,Germany,90640000000
1961,United Kingdom,74016000000
1961,France,66950000000
1961,Italy,63797999999
1961,Canada,59797999999
1961,Russia,57399999999
1961,India,54860000000
1961,Brazil,49920000000
1961,Australia,46440000000
1961,South Korea,42000000000
1961,Spain,39254000000
1961,Mexico,37296000000
1961,Indonesia,35768000000
1961,Netherlands,32960000000
1961,Saudi Arabia,31020000000
1961,Turkey,29064000000
1961,Switzerland,26753999999
1962,United States,581675174999
1962,China,138675000000
1962,Japan,103742374999
1962,Germany,93359200000
1962,United Kingdom,76088448000
1962,France,68958500000
1962,Italy,65648141999
1962,Canada,61651737999
1962,Russia,58834999999
1962,India,57877300000
1962,Brazil,51916800000
1962,Australia,47926080000
1962,South Korea,44100000000
1962,Spain,40549381999
1962,Mexico,38638656000
1962,Indonesia,37627936000
1962,Netherlands,33948800000
1962,Saudi Arabia,32074680000
1962,Turkey,30168432000
1962,Switzerland,27529865999
1963,United States,602033806124
1963,China,149075624999
1963,Japan,108410781874
1963,Germany,96159976000
1963,United Kingdom,78218924544
1963,France,71027255000
1963,Italy,67551938117
1963,Canada,63562941877
1963,India,61060551499
1963,Russia,60305874999
1963,Brazil,53993472000
1963,Australia,49459714560
1963,South Korea,46305000000
1963,Spain,41887511605
1963,Mexico,40029647616
1963,Indonesia,39584588672
1963,Netherlands,34967264000
1963,Saudi Arabia,33165219120
1963,Turkey,31314832416
1963,Switzerland,28328232113
1964,United States,623104989339
1964,China,160256296875
1964,Japan,113289267059
1964,Germany,99044775280
1964,United Kingdom,80409054431
1964,France,73158072650
1964,Italy,69510944323
1964,Canada,65533393076
1964,India,64418881832
1964,Russia,61813521874
1964,Brazil,56153210880
1964,Australia,51042425425
1964,South Korea,48620250000
1964,Spain,43269799488
1964,Indonesia,41642987282
1964,Mexico,41470714930
1964,Netherlands,36016281920
1964,Saudi Arabia,34292836570
1964,Turkey,32504796047
1964,Switzerland,29149750845
1965,United States,644913663966
1965,China,172275519140
1965,Japan,118387284077
1965,Germany,102016118538
1965,United Kingdom,82660507955
1965,France,75352814829
1965,Italy,71526761708
1965,India,67961920333
1965,Canada,67564928261
1965,Russia,63358859921
1965,Brazil,58399339315
1965,Australia,52675783039
1965,South Korea,51051262500
1965,Spain,44697702872
1965,Indonesia,43808422621
1965,Mexico,42963660667
1965,Netherlands,37096770377
1965,Saudi Arabia,35458793013
1965,Turkey,33739978297
1965,Switzerland,29995093619
1966,United States,667485642205
1966,China,185196183076
1966,Japan,123714711860
1966,Germany,105076602094
1966,United Kingdom,84975002178
1966,France,77613399274
1966,Italy,73601037798
1966,India,71699825951
1966,Canada,69659441037
1966,Russia,64942831419
1966,Brazil,60735312887
1966,Australia,54361408096
1966,South Korea,53603825625
1966,Spain,46172727066
1966,Indonesia,46086460597
1966,Mexico,44510352451
1966,Netherlands,38209673488
